Date,Country/Region,Confirmed,Recovered,Deaths
1/22/20,Afghanistan,0,0,0
1/23/20,Afghanistan,0,0,0
1/24/20,Afghanistan,0,0,0
1/25/20,Afghanistan,0,0,0
1/26/20,Afghanistan,0,0,0
1/27/20,Afghanistan,0,0,0
1/28/20,Afghanistan,0,0,0
1/29/20,Afghanistan,0,0,0
1/30/20,Afghanistan,0,0,0
1/31/20,Afghanistan,0,0,0
2/1/20,Afghanistan,0,0,0
2/2/20,Afghanistan,0,0,0
2/3/20,Afghanistan,0,0,0
2/4/20,Afghanistan,0,0,0
2/5/20,Afghanistan,0,0,0
2/6/20,Afghanistan,0,0,0
2/7/20,Afghanistan,0,0,0
2/8/20,Afghanistan,0,0,0
2/9/20,Afghanistan,0,0,0
2/10/20,Afghanistan,0,0,0
2/11/20,Afghanistan,0,0,0
2/12/20,Afghanistan,0,0,0
2/13/20,Afghanistan,0,0,0
2/14/20,Afghanistan,0,0,0
2/15/20,Afghanistan,0,0,0
2/16/20,Afghanistan,0,0,0
2/17/20,Afghanistan,0,0,0
2/18/20,Afghanistan,0,0,0
2/19/20,Afghanistan,0,0,0
2/20/20,Afghanistan,0,0,0
2/21/20,Afghanistan,0,0,0
2/22/20,Afghanistan,0,0,0
2/23/20,Afghanistan,0,0,0
2/24/20,Afghanistan,1,0,0
2/25/20,Afghanistan,1,0,0
2/26/20,Afghanistan,1,0,0
2/27/20,Afghanistan,1,0,0
2/28/20,Afghanistan,1,0,0
2/29/20,Afghanistan,1,0,0
3/1/20,Afghanistan,1,0,0
3/2/20,Afghanistan,1,0,0
3/3/20,Afghanistan,1,0,0
3/4/20,Afghanistan,1,0,0
3/5/20,Afghanistan,1,0,0
3/6/20,Afghanistan,1,0,0
3/7/20,Afghanistan,1,0,0
3/8/20,Afghanistan,4,0,0
3/9/20,Afghanistan,4,0,0
3/10/20,Afghanistan,5,0,0
3/11/20,Afghanistan,7,0,0
3/12/20,Afghanistan,7,0,0
3/13/20,Afghanistan,7,0,0
3/14/20,Afghanistan,11,0,0
3/15/20,Afghanistan,16,0,0
3/16/20,Afghanistan,21,1,0
3/17/20,Afghanistan,22,1,0
3/18/20,Afghanistan,22,1,0
3/19/20,Afghanistan,22,1,0
3/20/20,Afghanistan,24,1,0
3/21/20,Afghanistan,24,1,0
3/22/20,Afghanistan,40,1,1
3/23/20,Afghanistan,40,1,1
3/24/20,Afghanistan,74,1,1
3/25/20,Afghanistan,84,2,2
3/26/20,Afghanistan,94,2,4
3/27/20,Afghanistan,110,2,4
3/28/20,Afghanistan,110,2,4
3/29/20,Afghanistan,120,2,4
3/30/20,Afghanistan,170,2,4
3/31/20,Afghanistan,174,5,4
4/1/20,Afghanistan,237,5,4
4/2/20,Afghanistan,273,10,6
4/3/20,Afghanistan,281,10,6
4/4/20,Afghanistan,299,10,7
4/5/20,Afghanistan,349,15,7
4/6/20,Afghanistan,367,18,11
4/7/20,Afghanistan,423,18,14
4/8/20,Afghanistan,444,29,14
4/9/20,Afghanistan,484,32,15
4/10/20,Afghanistan,521,32,15
4/11/20,Afghanistan,555,32,18
4/12/20,Afghanistan,607,32,18
4/13/20,Afghanistan,665,32,21
4/14/20,Afghanistan,714,40,23
4/15/20,Afghanistan,784,43,25
4/16/20,Afghanistan,840,54,30
4/17/20,Afghanistan,906,99,30
4/18/20,Afghanistan,933,112,30
1/22/20,Albania,0,0,0
1/23/20,Albania,0,0,0
1/24/20,Albania,0,0,0
1/25/20,Albania,0,0,0
1/26/20,Albania,0,0,0
1/27/20,Albania,0,0,0
1/28/20,Albania,0,0,0
1/29/20,Albania,0,0,0
1/30/20,Albania,0,0,0
1/31/20,Albania,0,0,0
2/1/20,Albania,0,0,0
2/2/20,Albania,0,0,0
2/3/20,Albania,0,0,0
2/4/20,Albania,0,0,0
2/5/20,Albania,0,0,0
2/6/20,Albania,0,0,0
2/7/20,Albania,0,0,0
2/8/20,Albania,0,0,0
2/9/20,Albania,0,0,0
2/10/20,Albania,0,0,0
2/11/20,Albania,0,0,0
2/12/20,Albania,0,0,0
2/13/20,Albania,0,0,0
2/14/20,Albania,0,0,0
2/15/20,Albania,0,0,0
2/16/20,Albania,0,0,0
2/17/20,Albania,0,0,0
2/18/20,Albania,0,0,0
2/19/20,Albania,0,0,0
2/20/20,Albania,0,0,0
2/21/20,Albania,0,0,0
2/22/20,Albania,0,0,0
2/23/20,Albania,0,0,0
2/24/20,Albania,0,0,0
2/25/20,Albania,0,0,0
2/26/20,Albania,0,0,0
2/27/20,Albania,0,0,0
2/28/20,Albania,0,0,0
2/29/20,Albania,0,0,0
3/1/20,Albania,0,0,0
3/2/20,Albania,0,0,0
3/3/20,Albania,0,0,0
3/4/20,Albania,0,0,0
3/5/20,Albania,0,0,0
3/6/20,Albania,0,0,0
3/7/20,Albania,0,0,0
3/8/20,Albania,0,0,0
3/9/20,Albania,2,0,0
3/10/20,Albania,10,0,0
3/11/20,Albania,12,0,1
3/12/20,Albania,23,0,1
3/13/20,Albania,33,0,1
3/14/20,Albania,38,0,1
3/15/20,Albania,42,0,1
3/16/20,Albania,51,0,1
3/17/20,Albania,55,0,1
3/18/20,Albania,59,0,2
3/19/20,Albania,64,0,2
3/20/20,Albania,70,0,2
3/21/20,Albania,76,2,2
3/22/20,Albania,89,2,2
3/23/20,Albania,104,2,4
3/24/20,Albania,123,10,5
3/25/20,Albania,146,17,5
3/26/20,Albania,174,17,6
3/27/20,Albania,186,31,8
